Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0,0.0044519563542708696,21794.242857142857,21679.219999999998,0.008615173550287809,59.89441341388068,22024.08804727875,21564.397667006964
2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69,0.0032371720760713263,21791.578571428574,21692.333333333332,0.008522668636084729,64.43837687185925,22014.438750742516,21568.71839211463
2024-02-16,22020.3,22068.65,21968.95,22040.7,343892935.0,30666.89,0.005930878678274354,21807.321428571428,21705.07,0.008508252201653878,58.973769593513346,22084.843138575965,21529.79971856689
2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71,0.0036999732313400813,21865.07857142857,21718.784999999996,0.008520869411798963,69.12788176938543,22214.715515782533,21515.441627074608
2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32,0.0033766908881329716,21924.285714285714,21741.583333333332,0.008329918455982525,66.30132307794197,22342.336758674217,21506.23466989721
2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39,-0.006392770177884866,21987.0,21758.59,0.008440079959136126,61.58148637011011,22310.221786600727,21663.778213399273
2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94,0.007363392964423232,22054.742857142857,21778.548333333336,0.008512369404552985,61.66587412558983,22335.54879504649,21773.936919239226
2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01,-0.0002137959126722322,22107.978571428568,21797.39833333333,0.008514655330929185,64.8717511021688,22334.983871345794,21880.973271511342
2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26,-0.004080998707946426,22138.164285714283,21804.98166666667,0.008321798865347525,56.88276617668503,22284.719766838847,21991.60880458972
2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71,0.0034490474436139618,22160.685714285715,21808.344999999998,0.00817398276389505,59.02573131546973,22283.94774837429,22037.423680197142
2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8,-0.011135962808046407,22136.242857142857,21805.640000000003,0.008415308995547354,57.80518042266706,22337.96218714192,21934.523527143796
2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12,0.0014418378991531977,22105.649999999998,21819.335,0.007442985930990204,56.85975214096713,22328.276630632317,21883.02336936768
2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47,0.016192204814673428,22146.178571428572,21848.551666666663,0.00787810008146446,71.60287922267669,22422.609659026384,21869.74748383076
2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77,0.0017749426445079486,22169.17142857143,21873.751666666663,0.007794312395833447,69.99856997111043,22495.532878792666,21842.809978350193
2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71,0.0012154577628427088,22196.728571428568,21901.545,0.007765991020473314,68.6015566628266,22569.51595880978,21823.941184047355
2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37,-0.0022003427714499812,22230.192857142858,21938.795,0.00713286780840276,64.91241708330837,22613.601079227283,21846.784635058433
